#pid	conf	gene_ids	eids	pathfinders	sif_edges
p0	0.151000	YFR028C|YNL167C|YOL005C|CDC14RD30	edge1285|edge4790|edge16380	paths	YFR028C u YNL167C|YNL167C u YOL005C|YOL005C d CDC14RD30
p1	0.906000	YFR028C|YPL001W|YIL115C|CDC14ID21	edge23528|edge3833|edge5744	paths	YFR028C u YPL001W|YPL001W u YIL115C|YIL115C d CDC14ID21
p2	0.109000	YFR028C|YNR018W|YDR477W|CDC14RA40	edge11441|edge11426|edge24994	paths	YFR028C u YNR018W|YNR018W u YDR477W|YDR477W d CDC14RA40
p3	0.138000	YFR028C|YGR270W|YPL082C|CDC14RD32	edge19759|edge3723|edge24623	paths	YFR028C u YGR270W|YGR270W u YPL082C|YPL082C d CDC14RD32
p4	0.900000	YFR028C|YPL082C|YDR477W|CDC14RD36	edge2196|edge1951|edge24251	paths	YFR028C u YPL082C|YPL082C u YDR477W|YDR477W d CDC14RD36
p5	0.891000	YLR113W|YJL057C|YGL187C|HOG1ID42	edge737|edge14776|edge3350	paths	YLR113W d YJL057C|YJL057C u YGL187C|YGL187C d HOG1ID42
p6	0.915000	YOR360C|YPL204W|YLR025W|PDE2RA68	edge1729|edge9468|edge8768	paths	YOR360C u YPL204W|YPL204W u YLR025W|YLR025W d PDE2RA68
p7	0.919000	YOR360C|YPL204W|YBR260C|PDE2RA69	edge1729|edge18942|edge20507	paths	YOR360C u YPL204W|YPL204W u YBR260C|YBR260C d PDE2RA69
p8	0.902000	YLR113W|YBR118W|YDR392W|HOG1ID48	edge9417|edge5886|edge14285	paths	YLR113W u YBR118W|YBR118W u YDR392W|YDR392W d HOG1ID48
p9	0.145000	YFR028C|YGR270W|YDR113C|CDC14RD30	edge19759|edge24204|edge15483	paths	YFR028C u YGR270W|YGR270W u YDR113C|YDR113C d CDC14RD30
p10	0.902000	YLR113W|YEL048C|YKR022C|HOG1RD57	edge23010|edge8432|edge15552	paths	YLR113W u YEL048C|YEL048C u YKR022C|YKR022C d HOG1RD57
p11	0.953000	YFR028C|YDR381W|CDC14RD35	edge17976|edge25899	paths	YFR028C d YDR381W|YDR381W d CDC14RD35
p12	0.902000	YFR028C|YKL028W|YCL028W|CDC14RD31	edge20135|edge15877|edge26810	paths	YFR028C u YKL028W|YKL028W u YCL028W|YCL028W d CDC14RD31
p13	0.906000	YFR028C|YPL001W|HOG1ID46|YIL115C|CDC14RD31	edge23528|edge1539|edge20846|edge8541	paths	YFR028C u YPL001W|YPL001W d HOG1ID46|HOG1ID46 d YIL115C|YIL115C d CDC14RD31
p14	0.093000	YLR113W|YMR236W|YPR119W|HOG1ID47	edge21891|edge11319|edge8582	paths	YLR113W u YMR236W|YMR236W u YPR119W|YPR119W d HOG1ID47
p15	0.955000	YFR028C|YLL024C|CDC14RD36	edge23318|edge17367	paths	YFR028C u YLL024C|YLL024C d CDC14RD36
p16	0.905000	YFR028C|YBR118W|YAR019C|CDC14RD31	edge15912|edge24815|edge16799	paths	YFR028C d YBR118W|YBR118W u YAR019C|YAR019C d CDC14RD31
p17	0.086000	YLR113W|YOL077C|YBR009C|HOG1RD57	edge12605|edge1865|edge12478	paths	YLR113W u YOL077C|YOL077C u YBR009C|YBR009C d HOG1RD57
p18	0.955000	YFR028C|YLL024C|CDC14RD31	edge23318|edge3283	paths	YFR028C u YLL024C|YLL024C d CDC14RD31
p19	0.911000	YFR028C|YPR185W|YGL180W|CDC14IA18	edge12038|edge3640|edge184	paths	YFR028C u YPR185W|YPR185W u YGL180W|YGL180W d CDC14IA18
p20	0.951000	YFR028C|YIL115C|CDC14RD31	edge7800|edge8541	paths	YFR028C u YIL115C|YIL115C d CDC14RD31
p21	0.910000	YLR113W|YOR027W|YDL042C|HOG1ID42	edge18923|edge7046|edge15634	paths	YLR113W u YOR027W|YOR027W u YDL042C|YDL042C d HOG1ID42
