sif_style	Annotation	count	etype	matchType	matchType	filenames
YAL001C (u) YLL036C		1.0	ppi			rewired-BG-network-66_1_bgnet
YLL036C (u) YAL001C		1.0	ppi			rewired-BG-network-66_1_bgnet
YKR079C (u) YPR007C		1.0	ppi			rewired-BG-network-66_1_bgnet
YPR007C (u) YKR079C		1.0	ppi			rewired-BG-network-66_1_bgnet
YHR030C (u) YNL022C		1.0	ppi			rewired-BG-network-66_1_bgnet
YNL022C (u) YHR030C		1.0	ppi			rewired-BG-network-66_1_bgnet
YKL004W (u) YNL272C		1.0	ppi			rewired-BG-network-66_1_bgnet
YNL272C (u) YKL004W		1.0	ppi			rewired-BG-network-66_1_bgnet
YDR383C (u) YGL099W		1.0	ppi			rewired-BG-network-66_1_bgnet
YGL099W (u) YDR383C		1.0	ppi			rewired-BG-network-66_1_bgnet
YDR012W (u) YPR074C		1.0	ppi			rewired-BG-network-66_1_bgnet
YPR074C (u) YDR012W		1.0	ppi			rewired-BG-network-66_1_bgnet
YCR086W (u) YJL039C		1.0	ppi			rewired-BG-network-66_1_bgnet
YJL039C (u) YCR086W		1.0	ppi			rewired-BG-network-66_1_bgnet
NPR12 (d) YDL195W		1.0			Constituent	NaCl_module_edges_Randomized_1
YLL039C (u) YLR293C		1.0	ppi			rewired-BG-network-66_1_bgnet
YLR293C (u) YLL039C		1.0	ppi			rewired-BG-network-66_1_bgnet
PDE2RA67 (d) YJL098W		1.0			Shared_Interaction	NaCl_module_edges_Randomized_1
YHR167W (u) YMR140W		1.0	ppi			rewired-BG-network-66_1_bgnet
YMR140W (u) YHR167W		1.0	ppi			rewired-BG-network-66_1_bgnet
YGL179C (d) YPR088C		1.0	kinase_substrate			rewired-BG-network-66_1_bgnet
YGL158W (u) YNL209W		1.0	ppi			rewired-BG-network-66_1_bgnet
YNL209W (u) YGL158W		1.0	ppi			rewired-BG-network-66_1_bgnet
YDL160C (u) YDR212W		1.0	ppi			rewired-BG-network-66_1_bgnet
YDR212W (u) YDL160C		1.0	ppi			rewired-BG-network-66_1_bgnet
YLR103C (u) YPL171C		1.0	ppi			rewired-BG-network-66_1_bgnet
YPL171C (u) YLR103C		1.0	ppi			rewired-BG-network-66_1_bgnet
YJR059W (d) YPL172C		1.0	kinase_substrate			rewired-BG-network-66_1_bgnet
YLR113W (d) YKL074C		1.0	kinase_substrate			rewired-BG-network-66_1_bgnet
SNR7L (u) YLR399C		1.0	ppi			rewired-BG-network-66_1_bgnet
YLR399C (u) SNR7L		1.0	ppi			rewired-BG-network-66_1_bgnet
YHR135C (d) YNL227C		1.0	kinase_substrate			rewired-BG-network-66_1_bgnet
YDL126C (u) YOR128C		1.0	ppi			rewired-BG-network-66_1_bgnet
YOR128C (u) YDL126C		1.0	ppi			rewired-BG-network-66_1_bgnet
YOR244W (d) YOR308C		1.0	acetylation			rewired-BG-network-66_1_bgnet
YGR181W (u) YJL141C		1.0	ppi			rewired-BG-network-66_1_bgnet
YJL141C (u) YGR181W		1.0	ppi			rewired-BG-network-66_1_bgnet
YER012W (u) YLR128W		1.0	ppi			rewired-BG-network-66_1_bgnet
YLR128W (u) YER012W		1.0	ppi			rewired-BG-network-66_1_bgnet
YAL010C (u) YER024W		1.0	ppi			rewired-BG-network-66_1_bgnet
YER024W (u) YAL010C		1.0	ppi			rewired-BG-network-66_1_bgnet
YAL038W (u) YPL161C		1.0	ppi			rewired-BG-network-66_1_bgnet
YPL161C (u) YAL038W		1.0	ppi			rewired-BG-network-66_1_bgnet
YBR193C (u) YGR172C		1.0	ppi			rewired-BG-network-66_1_bgnet
YGR172C (u) YBR193C		1.0	ppi			rewired-BG-network-66_1_bgnet
YDR510W (u) YNL131W		1.0	ppi			rewired-BG-network-66_1_bgnet
YNL131W (u) YDR510W		1.0	ppi			rewired-BG-network-66_1_bgnet
