sif_style	Annotation	count	etype	matchType	matchType	filenames
YGL210W (u) YLR103C		1.0	ppi			rewired-BG-network-522_3_bgnet
YLR103C (u) YGL210W		1.0	ppi			rewired-BG-network-522_3_bgnet
YJL165C (d) YNL189W		1.0	kinase_substrate			rewired-BG-network-522_3_bgnet
YDR261C (d) YDL207W		1.0	metabolic_pathway			rewired-BG-network-522_3_bgnet
YCR077C (u) YLR079W		1.0	ppi			rewired-BG-network-522_3_bgnet
YLR079W (u) YCR077C		1.0	ppi			rewired-BG-network-522_3_bgnet
YDL111C (u) YPR106W		1.0	ppi			rewired-BG-network-522_3_bgnet
YPR106W (u) YDL111C		1.0	ppi			rewired-BG-network-522_3_bgnet
YBR095C (u) YPL128C		1.0	ppi			rewired-BG-network-522_3_bgnet
YPL128C (u) YBR095C		1.0	ppi			rewired-BG-network-522_3_bgnet
YGL011C (u) YJL122W		1.0	ppi			rewired-BG-network-522_3_bgnet
YJL122W (u) YGL011C		1.0	ppi			rewired-BG-network-522_3_bgnet
YHR030C (u) YNL022C		1.0	ppi			rewired-BG-network-522_3_bgnet
YNL022C (u) YHR030C		1.0	ppi			rewired-BG-network-522_3_bgnet
YDR496C (u) YLR293C		1.0	ppi			rewired-BG-network-522_3_bgnet
YLR293C (u) YDR496C		1.0	ppi			rewired-BG-network-522_3_bgnet
YDL108W (u) YHL003C		1.0	ppi			rewired-BG-network-522_3_bgnet
YHL003C (u) YDL108W		1.0	ppi			rewired-BG-network-522_3_bgnet
YJL095W (d) YKL146W		1.0	kinase_substrate			rewired-BG-network-522_3_bgnet
NPR12 (d) YDL195W		1.0			Constituent	NaCl_module_edges_Randomized_3
YLR212C (u) YPL240C		1.0	ppi			rewired-BG-network-522_3_bgnet
YPL240C (u) YLR212C		1.0	ppi			rewired-BG-network-522_3_bgnet
YGL180W (d) YBR037C		1.0	kinase_substrate			rewired-BG-network-522_3_bgnet
YBL007C (u) YHR084W		1.0	ppi			rewired-BG-network-522_3_bgnet
YHR084W (u) YBL007C		1.0	ppi			rewired-BG-network-522_3_bgnet
YGL043W (u) YNL251C		1.0	ppi			rewired-BG-network-522_3_bgnet
YNL251C (u) YGL043W		1.0	ppi			rewired-BG-network-522_3_bgnet
YGL180W (d) YJR077C		1.0	kinase_substrate			rewired-BG-network-522_3_bgnet
YDR207C (u) YPL222W		1.0	ppi			rewired-BG-network-522_3_bgnet
YPL222W (u) YDR207C		1.0	ppi			rewired-BG-network-522_3_bgnet
YMR031C (d) CDC14IA20		1.0			Shared_Interaction	NaCl_module_edges_Randomized_3
YGR092W (u) YPL180W		1.0	ppi			rewired-BG-network-522_3_bgnet
YPL180W (u) YGR092W		1.0	ppi			rewired-BG-network-522_3_bgnet
