#pid	conf	gene_ids	eids	pathfinders	sif_edges
p0	0.054000	YLR113W|YPL169C|YKL125W|HOG1ID42	edge20296|edge3164|edge13816	paths	YLR113W u YPL169C|YPL169C u YKL125W|YKL125W d HOG1ID42
p1	0.875000	YFR028C|YBR028C|YPL082C|CDC14RA40	edge6977|edge17485|edge8778	paths	YFR028C u YBR028C|YBR028C u YPL082C|YPL082C d CDC14RA40
p2	0.503000	YLR113W|YKL035W|YLR377C|HOG1ID46	edge25280|edge12919|edge12186	paths	YLR113W d YKL035W|YKL035W u YLR377C|YLR377C d HOG1ID46
p3	0.885000	YLR113W|YBL045C|YOR174W|HOG1ID42	edge24869|edge10998|edge10101	paths	YLR113W u YBL045C|YBL045C u YOR174W|YOR174W d HOG1ID42
p4	0.910000	YLR113W|YPL204W|YML015C|HOG1ID46	edge4112|edge18272|edge17296	paths	YLR113W u YPL204W|YPL204W d YML015C|YML015C d HOG1ID46
p5	0.048000	YFR028C|YKL139W|YGL048C|CDC14RD30	edge3121|edge5664|edge21391	paths	YFR028C u YKL139W|YKL139W u YGL048C|YGL048C d CDC14RD30
p6	0.812000	YFR028C|YOR181W|YER133W|CDC14RD39	edge16382|edge6891|edge11770	paths	YFR028C u YOR181W|YOR181W u YER133W|YER133W d CDC14RD39
p7	0.922000	YLR113W|YPL240C|YBR160W|HOG1ID46	edge5592|edge21175|edge610	paths	YLR113W u YPL240C|YPL240C u YBR160W|YBR160W d HOG1ID46
p8	0.909000	YLR113W|YJL140W|YJR006W|HOG1ID42	edge8781|edge11405|edge11034	paths	YLR113W d YJL140W|YJL140W u YJR006W|YJR006W d HOG1ID42
p9	0.957000	YLR113W|YPL240C|HOG1ID49	edge5592|edge4144	paths	YLR113W u YPL240C|YPL240C d HOG1ID49
p10	0.921000	YLR113W|YBR072W|YFR014C|HOG1ID46	edge12063|edge13570|edge26416	paths	YLR113W u YBR072W|YBR072W u YFR014C|YFR014C d HOG1ID46
p11	0.863000	YLR113W|YJL140W|YHR200W|HOG1IA43	edge8781|edge25874|edge20172	paths	YLR113W d YJL140W|YJL140W u YHR200W|YHR200W d HOG1IA43
p12	0.055000	YLR113W|YMR153W|YHL004W|HOG1ID49	edge8672|edge9663|edge9247	paths	YLR113W d YMR153W|YMR153W u YHL004W|YHL004W d HOG1ID49
p13	0.000000	YFR028C|YKL079W|YPL082C|CDC14RA40	edge18868|edge19144|edge8778	paths	YFR028C u YKL079W|YKL079W u YPL082C|YPL082C d CDC14RA40
p14	0.904000	YFR028C|YKL009W|YDL147W|CDC14RD30	edge3981|edge22374|edge24805	paths	YFR028C u YKL009W|YKL009W u YDL147W|YDL147W d CDC14RD30
p15	0.911000	YLR113W|YBR253W|YLR418C|HOG1ID42	edge15317|edge6669|edge14529	paths	YLR113W u YBR253W|YBR253W u YLR418C|YLR418C d HOG1ID42
