sif_style	Annotation	count	etype	matchType	matchType	filenames
YAL001C (u) YLL036C		1.0	ppi			rewired-BG-network-807_0_bgnet
YLL036C (u) YAL001C		1.0	ppi			rewired-BG-network-807_0_bgnet
YEL051W (u) YER093C		1.0	ppi			rewired-BG-network-807_0_bgnet
YER093C (u) YEL051W		1.0	ppi			rewired-BG-network-807_0_bgnet
YBR093C (u) YPR143W		1.0	ppi			rewired-BG-network-807_0_bgnet
YPR143W (u) YBR093C		1.0	ppi			rewired-BG-network-807_0_bgnet
YKR014C (u) YPL031C		1.0	ppi			rewired-BG-network-807_0_bgnet
YPL031C (u) YKR014C		1.0	ppi			rewired-BG-network-807_0_bgnet
YPL031C (d) YNL173C		1.0	kinase_substrate			rewired-BG-network-807_0_bgnet
YAL013W (u) YLR268W		1.0	ppi			rewired-BG-network-807_0_bgnet
YLR268W (u) YAL013W		1.0	ppi			rewired-BG-network-807_0_bgnet
YER006W (d) NPR17		1.0			Shared_interaction	NaCl_module_edges_Randomized_0
NPR12 (d) YDL195W		1.0			Constituent	NaCl_module_edges_Randomized_0
YGR183C (u) YLR117C		1.0	ppi			rewired-BG-network-807_0_bgnet
YLR117C (u) YGR183C		1.0	ppi			rewired-BG-network-807_0_bgnet
YNL151C (u) YPL248C		1.0	ppi			rewired-BG-network-807_0_bgnet
YPL248C (u) YNL151C		1.0	ppi			rewired-BG-network-807_0_bgnet
YHR135C (d) YJL148W		1.0	kinase_substrate			rewired-BG-network-807_0_bgnet
YCL028W (u) YKR092C		1.0	ppi			rewired-BG-network-807_0_bgnet
YKR092C (u) YCL028W		1.0	ppi			rewired-BG-network-807_0_bgnet
YAR033W (u) YNL224C		1.0	ppi			rewired-BG-network-807_0_bgnet
YNL224C (u) YAR033W		1.0	ppi			rewired-BG-network-807_0_bgnet
YDL209C (u) YNL206C		1.0	ppi			rewired-BG-network-807_0_bgnet
YNL206C (u) YDL209C		1.0	ppi			rewired-BG-network-807_0_bgnet
YGR246C (u) YOR290C		1.0	ppi			rewired-BG-network-807_0_bgnet
YOR290C (u) YGR246C		1.0	ppi			rewired-BG-network-807_0_bgnet
YJR102C (u) YLR093C		1.0	ppi			rewired-BG-network-807_0_bgnet
YLR093C (u) YJR102C		1.0	ppi			rewired-BG-network-807_0_bgnet
YBR243C (u) YLR003C		1.0	ppi			rewired-BG-network-807_0_bgnet
YLR003C (u) YBR243C		1.0	ppi			rewired-BG-network-807_0_bgnet
YDR283C (u) YML001W		1.0	ppi			rewired-BG-network-807_0_bgnet
YML001W (u) YDR283C		1.0	ppi			rewired-BG-network-807_0_bgnet
YML048W (u) YPR119W		1.0	ppi			rewired-BG-network-807_0_bgnet
YPR119W (u) YML048W		1.0	ppi			rewired-BG-network-807_0_bgnet
YHL007C (d) YMR246W		1.0	kinase_substrate			rewired-BG-network-807_0_bgnet
YLR131C (u) YOR290C		1.0	ppi			rewired-BG-network-807_0_bgnet
YOR290C (u) YLR131C		1.0	ppi			rewired-BG-network-807_0_bgnet
YHR154W (u) YLR362W		1.0	ppi			rewired-BG-network-807_0_bgnet
YLR362W (u) YHR154W		1.0	ppi			rewired-BG-network-807_0_bgnet
YHR079C (d) YOL026C		1.0	kinase_substrate			rewired-BG-network-807_0_bgnet
YJR046W (u) YLR363C		1.0	ppi			rewired-BG-network-807_0_bgnet
YLR363C (u) YJR046W		1.0	ppi			rewired-BG-network-807_0_bgnet
YER133W (d) YDR179C		1.0	phosphatase_substrate			rewired-BG-network-807_0_bgnet
YBR079C (u) YOR211C		1.0	ppi			rewired-BG-network-807_0_bgnet
YOR211C (u) YBR079C		1.0	ppi			rewired-BG-network-807_0_bgnet
YMR146C (u) YPR023C		1.0	ppi			rewired-BG-network-807_0_bgnet
YPR023C (u) YMR146C		1.0	ppi			rewired-BG-network-807_0_bgnet
YGL158W (d) YKR059W		1.0	kinase_substrate			rewired-BG-network-807_0_bgnet
YDR510W (u) YNL131W		1.0	ppi			rewired-BG-network-807_0_bgnet
YNL131W (u) YDR510W		1.0	ppi			rewired-BG-network-807_0_bgnet
YFR014C (d) YDR168W		1.0	kinase_substrate			rewired-BG-network-807_0_bgnet
YMR140W (u) YOL018C		1.0	ppi			rewired-BG-network-807_0_bgnet
YOL018C (u) YMR140W		1.0	ppi			rewired-BG-network-807_0_bgnet
YJL164C (d) YGL246C		1.0	kinase_substrate			rewired-BG-network-807_0_bgnet
YAL019W (u) YDR510W		1.0	ppi			rewired-BG-network-807_0_bgnet
YDR510W (u) YAL019W		1.0	ppi			rewired-BG-network-807_0_bgnet
YHR082C (d) YFR038W		1.0	kinase_substrate			rewired-BG-network-807_0_bgnet
YCL029C (u) YDL153C		1.0	ppi			rewired-BG-network-807_0_bgnet
YDL153C (u) YCL029C		1.0	ppi			rewired-BG-network-807_0_bgnet
YHR069C (d) HOG1ID42		1.0			Shared_interaction	NaCl_module_edges_Randomized_0
YPL031C (d) YGR276C		1.0	kinase_substrate			rewired-BG-network-807_0_bgnet
YIL091C (u) YJL089W		1.0	ppi			rewired-BG-network-807_0_bgnet
YJL089W (u) YIL091C		1.0	ppi			rewired-BG-network-807_0_bgnet
YDL115C (u) YLR421C		1.0	ppi			rewired-BG-network-807_0_bgnet
YLR421C (u) YDL115C		1.0	ppi			rewired-BG-network-807_0_bgnet
YGR034W (u) YLR378C		1.0	ppi			rewired-BG-network-807_0_bgnet
YLR378C (u) YGR034W		1.0	ppi			rewired-BG-network-807_0_bgnet
YLL001W (u) YNR011C		1.0	ppi			rewired-BG-network-807_0_bgnet
YNR011C (u) YLL001W		1.0	ppi			rewired-BG-network-807_0_bgnet
YEL051W (u) YKR048C		1.0	ppi			rewired-BG-network-807_0_bgnet
YKR048C (u) YEL051W		1.0	ppi			rewired-BG-network-807_0_bgnet
YDR075W (u) YER110C		1.0	ppi			rewired-BG-network-807_0_bgnet
YER110C (u) YDR075W		1.0	ppi			rewired-BG-network-807_0_bgnet
YJR068W (u) YMR083W		1.0	ppi			rewired-BG-network-807_0_bgnet
YMR083W (u) YJR068W		1.0	ppi			rewired-BG-network-807_0_bgnet
YGL030W (u) YOL051W		1.0	ppi			rewired-BG-network-807_0_bgnet
YOL051W (u) YGL030W		1.0	ppi			rewired-BG-network-807_0_bgnet
YBL026W (u) YOR007C		1.0	ppi			rewired-BG-network-807_0_bgnet
YOR007C (u) YBL026W		1.0	ppi			rewired-BG-network-807_0_bgnet
YDR288W (u) YJL092W		1.0	ppi			rewired-BG-network-807_0_bgnet
YJL092W (u) YDR288W		1.0	ppi			rewired-BG-network-807_0_bgnet
YER087CB (u) YMR005W		1.0	ppi			rewired-BG-network-807_0_bgnet
YMR005W (u) YER087CB		1.0	ppi			rewired-BG-network-807_0_bgnet
YDR080W (u) YNL244C		1.0	ppi			rewired-BG-network-807_0_bgnet
YNL244C (u) YDR080W		1.0	ppi			rewired-BG-network-807_0_bgnet
YHL007C (d) YKL042W		1.0	kinase_substrate			rewired-BG-network-807_0_bgnet
YDR012W (u) YPL121C		1.0	ppi			rewired-BG-network-807_0_bgnet
YPL121C (u) YDR012W		1.0	ppi			rewired-BG-network-807_0_bgnet
YER110C (u) YHR066W		1.0	ppi			rewired-BG-network-807_0_bgnet
YHR066W (u) YER110C		1.0	ppi			rewired-BG-network-807_0_bgnet
